id_sonde;label;nb_obs;date_debut;date_fin;longitude;latitude
104;Monne;38314;2012-03-08;2020-12-04;0.12035;48.94737
105;Vie;14516;2012-03-08;2015-07-01;0.2124;48.90467
108;Taute;26898;2012-04-18;2018-06-07;-1.2721;49.22102
109;Barge;38313;2012-03-08;2014-05-15;0.14458;48.78573
300;Grande Vallée;22833;2016-04-05;2021-06-21;-1.83262;49.63887
762;Souleuvre;39515;2012-06-01;2021-06-07;-0.88895;48.9472
763;See Rousse;8717;2012-06-29;2015-11-04;-0.89254;48.70381
764;Egrenne;39265;2012-06-29;2021-06-14;-0.74364;48.69025
765;Durance;17544;2014-07-02;2018-07-03;-0.71439;48.76697
766;See;14017;2012-08-23;2015-11-04;-1.24009;48.71074
768;Berence;30407;2014-06-30;2021-06-07;-1.35089;48.90374
769;Glanon;29375;2014-09-24;2021-06-07;-1.10355;48.73107
771;Vingt Bec;38784;2012-08-29;2021-07-05;-0.51358;48.99503
811;Fontaine au Héron;4917;2012-03-08;2013-04-22;-0.3104;48.77697
812;Odon T1;43963;2011-05-28;2021-06-07;-0.72847;49.00604
813;Odon T2;45680;2011-05-27;2021-10-28;-0.63738;49.02515
815;Odon T4;43967;2011-05-27;2021-06-07;-0.49936;49.1299
816;Odon T5;32407;2011-05-27;2018-10-18;-0.40768;49.16432
817;Orne T1;45330;2011-06-17;2021-10-19;-0.45678;48.90405
818;Orne T3;44971;2011-07-17;2021-10-19;-0.44836;49.06559
819;Orne T2;45329;2011-06-17;2021-10-19;-0.49872;48.954
820;Selune T4;32002;2011-06-21;2018-10-09;-1.27502;48.59732
821;Selune T2;43760;2011-06-21;2021-06-14;-1.23391;48.58291
822;Selune T3;18083;2011-06-21;2015-08-06;-1.2611;48.60528
823;Selune T5;43752;2011-06-21;2021-06-14;-1.2899;48.60056
824;Selune T1;43758;2011-06-21;2021-06-14;-1.1172;48.57498
825;Touques T1;35868;2011-06-22;2019-08-28;0.29682;48.78053
827;Touques T3;32953;2013-05-29;2020-12-04;0.26798;48.94711
828;Touques T4;41435;2011-06-22;2020-12-04;0.25253;49.05705
830;Touques T6;43990;2011-06-22;2021-07-05;0.14921;49.30378